vertex,score
452,6.225073788190257E-4
453,2.7952361392076264E-4
454,2.0773750461903432E-4
455,1.744097114316126E-4
456,4.3707579829305545E-4
457,1.4846072548731806E-4
458,4.0061005348686763E-4
459,1.439338219418194E-4
460,1.7479128677721405E-4
461,2.001379350755763E-4
462,1.8122949055897683E-4
463,2.571212150225582E-4
464,1.486802332948665E-4
465,2.3143336030759026E-4
466,2.7941981112819514E-4
467,3.331381904028025E-4
468,2.566607348150686E-4
469,1.6126561372648164E-4
470,4.961747748226828E-4
471,3.6381159739606465E-4
472,1.2165486510469911E-4
473,2.477927224087391E-4
474,2.5885535865993574E-4
475,1.9058045454678452E-4
476,9.664275723908508E-5
477,3.312625132432464E-4
478,3.3727634070414346E-4
479,1.5177310295920706E-4
480,5.630464156618742E-5
481,2.563441101840025E-4
482,1.264619100634773E-4
483,2.44161654928022E-4
484,2.939922331846783E-4
485,2.3611369141513617E-4
486,1.6856435111947432E-4
487,1.380837280131882E-4
488,4.648229858948013E-4
489,2.316085187125806E-4
490,1.34348446375397E-4
491,2.2153073004662022E-4
492,2.747018782332771E-4
493,1.5308384851399405E-4
494,3.556482441704658E-4
495,2.2131680335576661E-4
496,2.542278520895089E-4
497,2.3899790321003033E-4
498,4.3755044906786187E-4
499,1.7653203716105372E-4
500,2.79319231907756E-4
501,5.624551163144074E-5
502,1.6880891231006213E-4
503,8.76556027641909E-5
504,2.2132092831916975E-4
505,4.174188908296221E-4
506,2.3994155798055745E-4
507,1.2030167674763348E-4
508,1.0297024648614585E-4
509,3.216396510369836E-4
510,2.225313611619476E-4
511,2.5332758982310845E-4
512,3.674923684565116E-4
513,2.2576885926734342E-4
514,5.488500295904785E-4
515,2.794826604071745E-4
516,2.458232542688318E-4
517,2.9040530055556387E-4
518,3.4828394392029936E-4
519,3.8033296910594614E-4
520,9.774974052629355E-5
521,1.529635132424115E-4
522,1.9818590589721008E-4
523,1.831453537391865E-4
524,2.9214464938323467E-4
525,1.571393753684402E-4
526,2.3077289975236795E-4
527,2.101503096424075E-4
528,2.5105128052567427E-4
529,2.0622593423062752E-4
530,1.4306318255530146E-4
531,2.5531088310457256E-4
532,1.5806254015062637E-4
